,Pos,Player,guaranteed
71,PG,Payton Pritchard,"$30,000,000"
26,SG,Derrick White,"$111,115,429"
44,SF,Jaylen Brown,"$288,260,000"
9,PF,Jayson Tatum,"$277,334,836"
146,C,Al Horford,"$9,500,000"
86,PG,Jrue Holiday,"$97,200,000"
204,PF,Sam Hauser,"$47,092,344"
241,C,Luke Kornet,"$2,087,519"
261,C,Kristaps Porziņģis,"$60,000,000"
269,C,Neemias Queta,"$2,162,606"
335,PF,Jordan Walsh,"$2,091,857"
362,C,Xavier Tillman Sr.,"$4,784,366"
396,SG,Jaden Springer,"$4,018,363"
411,SG,Baylor Scheierman,"$10,191,353"
